1112,20
1162,90
1212,150
1262,50
1362,100
1467,60
1497,250
1505,50
1506,60
1507,20
1508,250
1512,240
1614,140
1615,90
1616,220
1617,40
1621,200
1625,20
1626,110
1629,160
1631,250
1638,190
1639,40
1640,60
1641,250
1642,100
1645,180
1646,100
1648,50
1661,240
1662,230
10014,160
10015,120
10016,40
10023,50
10024,20
10025,130
10112,90
10212,180
10262,120
10562,180
10563,180
10564,230
10565,120
10612,240
10662,130
10762,90
10763,140
10764,20
10765,180
10766,160
10767,230
10768,140
10770,10
10771,240
10773,60
10775,30
10812,10
10862,220
10912,160
10962,230
11012,140
11015,250
11016,230
11017,230
11018,100
11020,50
11021,160
11022,120
11023,230
11024,130
11025,180
11026,240
11027,150
11028,100
11030,220
11031,160
11038,230
11039,60
11046,20
11047,20
11062,80
11112,210
11162,150
11212,50
11266,250
11267,200
11268,160
11269,10
11270,210
11271,110
11272,170
11273,230
11312,50
11362,10
11412,100
11462,150
11512,70
11562,80
11612,250
11613,240
11614,30
11615,120
11616,30
11617,40
11618,90
11662,10
11712,60
11762,10
11863,90
12017,100
12018,10
12112,40
12262,250
12265,150
12269,130
12270,190
12272,60
12273,110
12284,80
12287,20
12291,10
12292,30
12295,100
12296,70
12297,60
12298,130
12312,160
12412,20
12462,60
12512,120
12513,70
12515,90
12517,60
12518,110
12520,190
12612,240
12812,40
12923,40
12927,160
12929,60
12930,220
12935,50
13112,200
13212,170
13262,90
13512,10
13662,50
13712,180
13713,120
13714,150
13716,100
13717,30
13718,150
13719,20
13720,170
13721,160
13722,80
13723,150
13724,40
13725,120
13726,230
13727,140
13728,190
13729,210
13730,250
13731,160
13732,190
13733,140
13734,130
13762,60
13812,70
13862,20
13863,200
13866,90
13867,30
13868,100
13869,100
13870,80
13871,10
13872,110
13873,160
13874,250
13875,30
13876,50
13877,240
13881,100
13882,240
13885,210
13912,50
13962,110
14012,10
14062,250
14112,190
14162,220
14212,110
14262,70
14312,60
14577,40
14580,140
14582,100
14583,110
14585,160
14592,160
14595,120
14597,100
14599,80
14600,30
14603,210
14604,240
14605,190
14606,150
14607,250
14610,80
14611,10
14712,240
14762,220
14962,110
15012,110
15062,50
15112,240
15162,210
15212,140
15262,200
15312,20
15413,190
15416,20
15417,80
15418,90
15420,130
15422,210
15424,230
15426,10
15427,10
15428,220
15429,220
15430,170
15431,30
15432,100
15433,20
15437,240
15438,170
15439,160
15440,180
15441,100
15443,220
15444,10
15445,200
15446,170
15447,180
15448,100
15449,60
15450,90
15451,160
15452,70
15456,150
15458,170
15459,180
15460,220
15462,120
15562,80
15662,60
15712,250
15762,210
15812,40
15862,70
15912,160
15962,250
16012,190
16212,150
16262,110
16312,30
16362,230
16412,120
16512,80
16562,150
16612,40
16662,170
16712,100
16762,10
16812,20
16862,210
16912,140
16962,20
17162,180
17262,160
17312,170
17362,50
17462,50
17512,220
17513,70
17514,120
17519,210
17521,90
17524,220
17525,50
17526,40
17528,230
17529,100
17530,150
17531,180
17533,120
17534,230
17541,220
17542,110
17543,50
17544,130
